N,live_expert_target,mode,transport,prefetch,seeds,live_experts_min,live_experts_max,tokens_per_live_expert_min,tokens_per_live_expert_max,active_n8_tiles_min,active_n8_tiles_max,median_ms,min_ms,max_ms,median_reduction_vs_tma0_pct,median_useful_tflops,median_issued_tflops,mma_useful_pct
8,8,no_pf_tma_smem,tma,none,3,8,8,8,8,8,8,1.771520,1.742848,1.785856,0.0000,2.121397,2.121397,100.0000
8,8,pf32x4_n256_tma_smem,tma,4x32B_n256_K64_stripes_no_wait,3,8,8,8,8,8,8,0.774144,0.768000,0.790528,55.9342,4.854519,4.854519,100.0000
8,8,no_pf_cp_async_ca_smem,cp_async_ca,none,3,8,8,8,8,8,8,2.483200,2.458624,2.569248,-39.0482,1.513409,1.513409,100.0000
8,8,pf32x4_n256_cp_async_ca_smem,cp_async_ca,4x32B_n256_K64_stripes_no_wait,3,8,8,8,8,8,8,2.325504,2.286592,2.368512,-30.2179,1.616035,1.616035,100.0000
8,64,no_pf_tma_smem,tma,none,3,64,64,1,1,64,64,1.585152,1.582464,1.589216,0.0000,2.370811,18.966491,12.5000
8,64,pf32x4_n256_tma_smem,tma,4x32B_n256_K64_stripes_no_wait,3,64,64,1,1,64,64,0.888832,0.884736,0.892928,44.0710,4.228129,33.825033,12.5000
8,64,no_pf_cp_async_ca_smem,cp_async_ca,none,3,64,64,1,1,64,64,2.302976,2.280448,2.309120,-44.9127,1.631844,13.054748,12.5000
8,64,pf32x4_n256_cp_async_ca_smem,cp_async_ca,4x32B_n256_K64_stripes_no_wait,3,64,64,1,1,64,64,2.159616,2.149376,2.169856,-36.2403,1.740169,13.921350,12.5000
256,128,no_pf_tma_smem,tma,none,3,128,128,16,16,2048,2048,51.660801,51.365887,51.996674,0.0000,2.327859,18.622876,12.5000
256,128,pf32x4_n256_tma_smem,tma,4x32B_n256_K64_stripes_no_wait,3,128,128,16,16,2048,2048,51.793919,51.523582,51.866623,-0.3070,2.321877,18.575012,12.5000
256,128,no_pf_cp_async_ca_smem,cp_async_ca,none,3,128,128,16,16,2048,2048,51.394562,51.290112,51.584991,0.5154,2.339918,18.719348,12.5000
256,128,pf32x4_n256_cp_async_ca_smem,cp_async_ca,4x32B_n256_K64_stripes_no_wait,3,128,128,16,16,2048,2048,51.660801,51.445759,51.950081,0.0000,2.327859,18.622876,12.5000
256,384,no_pf_tma_smem,tma,none,3,384,384,5,6,2048,2048,78.372864,78.310371,78.789635,0.0000,1.534448,12.275584,12.5000
256,384,pf32x4_n256_tma_smem,tma,4x32B_n256_K64_stripes_no_wait,3,384,384,5,6,2048,2048,78.638077,78.520317,78.934814,-0.1881,1.529273,12.234184,12.5000
256,384,no_pf_cp_async_ca_smem,cp_async_ca,none,3,384,384,5,6,2048,2048,78.259201,78.212288,78.835709,0.1252,1.536677,12.293413,12.5000
256,384,pf32x4_n256_cp_async_ca_smem,cp_async_ca,4x32B_n256_K64_stripes_no_wait,3,384,384,5,6,2048,2048,78.679039,78.382080,79.155518,-0.3907,1.528477,12.227814,12.5000
512,128,no_pf_tma_smem,tma,none,3,128,128,32,32,4096,4096,221.123581,219.996674,221.848251,0.0000,1.087709,8.701674,12.5000
512,128,pf32x4_n256_tma_smem,tma,4x32B_n256_K64_stripes_no_wait,3,128,128,32,32,4096,4096,220.300858,219.792389,221.352737,0.0929,1.091771,8.734171,12.5000
512,128,no_pf_cp_async_ca_smem,cp_async_ca,none,3,128,128,32,32,4096,4096,220.309509,220.082169,220.958725,0.3682,1.091728,8.733828,12.5000
512,128,pf32x4_n256_cp_async_ca_smem,cp_async_ca,4x32B_n256_K64_stripes_no_wait,3,128,128,32,32,4096,4096,220.224518,219.802628,221.511673,0.1517,1.092150,8.737199,12.5000
512,384,no_pf_tma_smem,tma,none,3,384,384,10,11,4096,4096,281.460724,281.450500,281.492493,0.0000,0.854535,6.836284,12.5000
512,384,pf32x4_n256_tma_smem,tma,4x32B_n256_K64_stripes_no_wait,3,384,384,10,11,4096,4096,281.273376,280.872955,281.315369,0.0778,0.855105,6.840837,12.5000
512,384,no_pf_cp_async_ca_smem,cp_async_ca,none,3,384,384,10,11,4096,4096,281.899017,281.787384,282.222351,-0.1557,0.853207,6.825655,12.5000
512,384,pf32x4_n256_cp_async_ca_smem,cp_async_ca,4x32B_n256_K64_stripes_no_wait,3,384,384,10,11,4096,4096,281.782257,281.442291,283.692047,-0.1029,0.853560,6.828483,12.5000
