expert_pool,path,method,destination,seeds,live_experts_min,live_experts_max,tokens_per_live_expert_min,tokens_per_live_expert_max,median_ms,min_ms,max_ms,median_speedup_vs_no_pf,median_time_reduction_pct
128,actcomp,no_pf_direct,rmem,3,128,128,1,20,4.756800,3.980624,4.857264,1.000000,0.0000
128,actcomp,no_pf_tma_smem,smem_then_rmem,3,128,128,1,20,4.274624,4.034224,4.276928,1.000000,0.0000
128,actcomp,pf128_current_direct,rmem,3,128,128,1,20,4.407824,3.963504,4.422800,1.079172,7.3364
128,actcomp,pf128_current_tma_smem,smem_then_rmem,3,128,128,1,20,4.451984,4.044512,4.529712,0.960679,-4.0930
128,actcomp,pf128x2_current_lead1_direct,rmem,3,128,128,1,20,4.276224,3.950240,4.300464,1.106113,9.5933
128,actcomp,pf128x2_current_lead1_tma_smem,smem_then_rmem,3,128,128,1,20,4.459184,4.029056,4.540448,0.959128,-4.2614
128,actcomp,pf64x2_current_direct,rmem,3,128,128,1,20,4.386528,3.973904,4.416224,1.084411,7.7841
128,actcomp,pf64x2_current_tma_smem,smem_then_rmem,3,128,128,1,20,4.479696,4.048336,4.562336,0.954736,-4.7410
128,actcomp,pf64x4_current_lead1_direct,rmem,3,128,128,1,20,4.294448,3.969712,4.305552,1.107663,9.7198
128,actcomp,pf64x4_current_lead1_tma_smem,smem_then_rmem,3,128,128,1,20,4.517744,4.028544,4.602624,0.946696,-5.6306
128,actcomp,pf64x4_current_wait0_lead1_async_direct,rmem,3,128,128,1,20,4.326000,3.971392,4.342496,1.099584,9.0565
128,actcomp,pf64x4_current_wait0_lead1_async_tma_smem,smem_then_rmem,3,128,128,1,20,4.562960,4.036400,4.650560,0.937314,-6.6878
128,pure,no_pf_direct,rmem,3,128,128,1,20,3.253936,2.994848,3.318112,1.000000,0.0000
128,pure,no_pf_tma_smem,smem_then_rmem,3,128,128,1,20,3.027344,2.983568,3.028304,1.000000,0.0000
128,pure,pf128_current_direct,rmem,3,128,128,1,20,3.065824,2.922144,3.082944,1.055464,5.2549
128,pure,pf128_current_tma_smem,smem_then_rmem,3,128,128,1,20,3.049104,2.996688,3.055216,0.993178,-0.6869
128,pure,pf128x2_current_lead1_direct,rmem,3,128,128,1,20,3.065456,2.932064,3.081520,1.055952,5.2987
128,pure,pf128x2_current_lead1_tma_smem,smem_then_rmem,3,128,128,1,20,3.084224,3.030256,3.088800,0.981869,-1.8466
128,pure,pf64x2_current_direct,rmem,3,128,128,1,20,3.061232,2.917904,3.084656,1.054878,5.2023
128,pure,pf64x2_current_tma_smem,smem_then_rmem,3,128,128,1,20,3.057248,3.011264,3.063104,0.990533,-0.9558
128,pure,pf64x4_current_lead1_direct,rmem,3,128,128,1,20,3.071360,2.930240,3.090768,1.052792,5.0145
128,pure,pf64x4_current_lead1_tma_smem,smem_then_rmem,3,128,128,1,20,3.103392,3.048288,3.115760,0.975805,-2.4795
128,pure,pf64x4_current_wait0_lead1_async_direct,rmem,3,128,128,1,20,3.087344,2.933200,3.108304,1.046853,4.4756
128,pure,pf64x4_current_wait0_lead1_async_tma_smem,smem_then_rmem,3,128,128,1,20,3.067744,2.997744,3.083040,0.987144,-1.3024
128,wdequant,no_pf_direct,rmem,3,128,128,1,20,6.894240,5.278240,6.895552,1.000000,0.0000
128,wdequant,no_pf_tma_smem,smem_then_rmem,3,128,128,1,20,6.508112,5.244672,6.512896,1.000000,0.0000
128,wdequant,pf128_current_direct,rmem,3,128,128,1,20,6.258704,4.849408,6.284416,1.097246,8.8628
128,wdequant,pf128_current_tma_smem,smem_then_rmem,3,128,128,1,20,6.354544,4.782768,6.404064,1.024167,2.3596
128,wdequant,pf128x2_current_lead1_direct,rmem,3,128,128,1,20,6.155696,4.680448,6.184560,1.119977,10.7125
128,wdequant,pf128x2_current_lead1_tma_smem,smem_then_rmem,3,128,128,1,20,6.373072,4.797168,6.432272,1.021189,2.0749
128,wdequant,pf64x2_current_direct,rmem,3,128,128,1,20,6.149232,4.638032,6.164336,1.121155,10.8062
128,wdequant,pf64x2_current_tma_smem,smem_then_rmem,3,128,128,1,20,6.354768,4.777776,6.418144,1.024131,2.3562
128,wdequant,pf64x4_current_lead1_direct,rmem,3,128,128,1,20,6.109536,4.623888,6.147472,1.128439,11.3820
128,wdequant,pf64x4_current_lead1_tma_smem,smem_then_rmem,3,128,128,1,20,6.415616,4.842080,6.479536,1.014417,1.4212
128,wdequant,pf64x4_current_wait0_lead1_async_direct,rmem,3,128,128,1,20,6.151184,4.689568,6.187824,1.120799,10.7779
128,wdequant,pf64x4_current_wait0_lead1_async_tma_smem,smem_then_rmem,3,128,128,1,20,6.451840,4.866656,6.522192,1.008722,0.8646
384,actcomp,no_pf_direct,rmem,3,356,364,1,11,9.336880,9.194927,9.371296,1.000000,0.0000
384,actcomp,no_pf_tma_smem,smem_then_rmem,3,356,364,1,11,9.210448,9.030544,9.258575,1.000000,0.0000
384,actcomp,pf128_current_direct,rmem,3,356,364,1,11,9.492064,9.408943,9.551664,0.981117,-1.9247
384,actcomp,pf128_current_tma_smem,smem_then_rmem,3,356,364,1,11,9.200864,9.039712,9.268896,0.998986,-0.1015
384,actcomp,pf128x2_current_lead1_direct,rmem,3,356,364,1,11,9.143920,9.040192,9.212512,1.017236,1.6944
384,actcomp,pf128x2_current_lead1_tma_smem,smem_then_rmem,3,356,364,1,11,9.138640,8.970800,9.210352,1.006660,0.6616
384,actcomp,pf64x2_current_direct,rmem,3,356,364,1,11,9.454048,9.369264,9.521919,0.984181,-1.6073
384,actcomp,pf64x2_current_tma_smem,smem_then_rmem,3,356,364,1,11,9.168447,9.008801,9.252448,1.002414,0.2408
384,actcomp,pf64x4_current_lead1_direct,rmem,3,356,364,1,11,9.089728,8.977760,9.156352,1.024189,2.3618
384,actcomp,pf64x4_current_lead1_tma_smem,smem_then_rmem,3,356,364,1,11,9.155216,8.994400,9.237904,1.004019,0.4002
384,actcomp,pf64x4_current_wait0_lead1_async_direct,rmem,3,356,364,1,11,9.144464,9.068064,9.223152,1.016062,1.5808
384,actcomp,pf64x4_current_wait0_lead1_async_tma_smem,smem_then_rmem,3,356,364,1,11,8.769953,8.557664,8.817265,1.050228,4.7826
384,pure,no_pf_direct,rmem,3,356,364,1,11,7.840000,7.736880,7.919920,1.000000,0.0000
384,pure,no_pf_tma_smem,smem_then_rmem,3,356,364,1,11,7.900992,7.737072,7.962416,1.000000,0.0000
384,pure,pf128_current_direct,rmem,3,356,364,1,11,7.887600,7.776784,7.962720,0.994625,-0.5404
384,pure,pf128_current_tma_smem,smem_then_rmem,3,356,364,1,11,7.900016,7.762720,7.958912,1.000124,0.0124
384,pure,pf128x2_current_lead1_direct,rmem,3,356,364,1,11,7.886624,7.783632,7.952256,0.994088,-0.5947
384,pure,pf128x2_current_lead1_tma_smem,smem_then_rmem,3,356,364,1,11,7.901152,7.765824,7.960336,0.999980,-0.0020
384,pure,pf64x2_current_direct,rmem,3,356,364,1,11,7.879488,7.773872,7.950624,0.995241,-0.4781
384,pure,pf64x2_current_tma_smem,smem_then_rmem,3,356,364,1,11,7.911200,7.759552,7.960304,0.998710,-0.1292
384,pure,pf64x4_current_lead1_direct,rmem,3,356,364,1,11,7.879744,7.772688,7.976976,0.994956,-0.5069
384,pure,pf64x4_current_lead1_tma_smem,smem_then_rmem,3,356,364,1,11,7.920448,7.772336,7.968240,0.997544,-0.2462
384,pure,pf64x4_current_wait0_lead1_async_direct,rmem,3,356,364,1,11,7.896512,7.769520,7.955088,0.995579,-0.4440
384,pure,pf64x4_current_wait0_lead1_async_tma_smem,smem_then_rmem,3,356,364,1,11,7.912704,7.779008,7.978416,0.997995,-0.2009
384,wdequant,no_pf_direct,rmem,3,356,364,1,11,11.680592,10.367439,11.738368,1.000000,0.0000
384,wdequant,no_pf_tma_smem,smem_then_rmem,3,356,364,1,11,10.747313,10.562256,10.825328,1.000000,0.0000
384,wdequant,pf128_current_direct,rmem,3,356,364,1,11,11.003008,10.088177,11.084320,1.059007,5.5719
384,wdequant,pf128_current_tma_smem,smem_then_rmem,3,356,364,1,11,9.521872,8.657968,9.556623,1.132757,11.7198
384,wdequant,pf128x2_current_lead1_direct,rmem,3,356,364,1,11,10.551825,9.681200,10.602385,1.106974,9.6636
384,wdequant,pf128x2_current_lead1_tma_smem,smem_then_rmem,3,356,364,1,11,9.481680,8.409552,9.498159,1.139729,12.2599
384,wdequant,pf64x2_current_direct,rmem,3,356,364,1,11,10.685504,9.814144,10.738239,1.093125,8.5192
384,wdequant,pf64x2_current_tma_smem,smem_then_rmem,3,356,364,1,11,9.468544,8.510896,9.494608,1.140155,12.2927
384,wdequant,pf64x4_current_lead1_direct,rmem,3,356,364,1,11,10.263856,9.378416,10.334672,1.135824,11.9582
384,wdequant,pf64x4_current_lead1_tma_smem,smem_then_rmem,3,356,364,1,11,9.488913,8.354976,9.508495,1.138490,12.1644
384,wdequant,pf64x4_current_wait0_lead1_async_direct,rmem,3,356,364,1,11,10.925824,9.739392,10.978912,1.069081,6.4617
384,wdequant,pf64x4_current_wait0_lead1_async_tma_smem,smem_then_rmem,3,356,364,1,11,9.106160,7.772448,9.163952,1.181295,15.3471
